code	country
00035460	united-kingdom
00036559	united-states
00040617	united-kingdom
00041500007007	united-states
00043366	france
0004394	united-kingdom
00045889	france
00045889	united-kingdom
00047524	france
00047852	france
00047852	united-kingdom
00050319	france
00050678	france
00050678	united-kingdom
00051248	france
00051248	united-kingdom
00053327	united-kingdom
00054379	united-kingdom
00058001	france
00058001	united-kingdom
00062114	united-kingdom
00062855	united-kingdom
00062916	united-states
00064491	united-kingdom
00065252	france
00065269	france
00068789	france
00068789	united-kingdom
00070430	france
00070430	united-kingdom
00071093	france
00071093	united-kingdom
00071185	france
00071185	united-kingdom
00071338	france
00071338	united-kingdom
00071543	france
00071543	united-kingdom
00071574	france
00071574	united-kingdom
00071604	france
00071604	united-kingdom
0007200000021	switzerland
00072083	france
00072847	france
00072847	united-kingdom
00072854	france
00072854	united-kingdom
00073455	france
00073455	united-kingdom
00073899	france
00073899	united-kingdom
00073974	france
00073974	united-kingdom
000742	france
00074742	united-kingdom
00076517	france
00076517	united-kingdom
00076630	united-kingdom
00078115	france
00078115	united-kingdom
00078832	france
00078832	united-kingdom
00079150	united-states
0008077102146	united-states
00080897	france
00080897	united-kingdom
00080910	france
00080910	united-kingdom
0008274000078	france
0008274000078	united-states
0008295616241	france
0008361860110	france
0008361860202	france
0008421369416	france
00084222	france
00084222	united-kingdom
0008563994606	france
0008563994613	france
0008563994620	france
00086929	united-states
00086974	france
00088749	france
00088749	united-kingdom
00088824	france
00088862	united-kingdom
00088886	france
00088886	united-kingdom
00088909	france
00088978	france
00088978	united-kingdom
00089	france
00089227	france
00089739	france
0009	germany
0009	france
00090100	france
00090100	united-kingdom
00090780	united-states
00091244	france
00091244	united-kingdom
00091312	france
0009138378043	united-states
00091640	france
00091640	united-kingdom
0009300003346	united-states
0009300128896	united-states
00093910	france
0009439002579	france
0009542005979	france
0009542005979	australia
0009542009984	australia
0009542018054	united-states
0009542018061	united-states
0009542018085	united-states
00096225	france
00096225	united-kingdom
0009800120482	france
0009800801107	united-states
0009800892204	switzerland
0009800892204	united-states
0009800892204	canada
0009800895007	united-states
0009800895250	united-states
00099165	france
00099165	united-kingdom
00099233	france
00099332	france
00099332	united-kingdom
0010041001072	france
00101530	france
00101639	france
00101639	united-kingdom
00102476	france
00102476	united-kingdom
0010248765135	mexico
00104302	france
00104302	united-kingdom
00104456	france
00104456	united-kingdom
0010596641075	united-states
0010596641198	united-states
00106337	france
00106337	united-kingdom
0010700021526	united-states
0010700024404	united-states
0010700088130	united-states
0010700519528	egypt
0010700531001	united-states
00107860	france
0010852997489	united-states
00108867	france
00108867	united-kingdom
00109031	france
00109031	canada
0011010000010	france
0011110001207	united-states
0011110001986	united-states
0011110002013	united-states
0011110002297	united-states
0011110008244	united-states
0011110016508	france
0011110016508	united-states
0011110017734	united-states
0011110019844	united-states
0011110020109	united-states
0011110020802	united-states
0011110022950	united-states
0011110025029	united-states
0011110026460	united-states
0011110027948	france
0011110200181	united-states
0011110372710	united-states
0011110576606	united-states
0011110578693	united-states
0011110618825	united-states
0011110673541	united-states
0011110791214	united-states
0011110799203	united-states
0011110799302	united-states
0011110799333	united-states
0011110802354	united-states
0011110805805	united-states
0011110814395	united-states
0011110815330	united-states
0011110816337	united-states
0011110816405	united-states
0011110820747	united-states
0011110821140	united-states
0011110821614	united-states
0011110825995	united-states
0011110827586	united-states
0011110831095	united-states
0011110834805	united-states
0011110842534	united-states
0011110844675	united-states
0011110844965	united-states
0011110845696	united-states
0011110846563	united-states
0011110847690	united-states
0011110858535	united-states
0011110859310	united-states
0011110865823	united-states
0011110870056	united-states
0011110873675	united-states
0011110879653	united-states
0011110879684	united-states
0011110879714	united-states
0011110879721	united-states
0011110881595	united-states
0011110892324	united-states
0011110894953	united-states
0011110897329	united-states
0011110897336	united-states
0011110908575	france
0011110914934	united-states
0011150017091	united-states
0011150017114	united-states
0011150017145	united-states
0011150017220	united-states
0011150030946	united-states
0011150039765	united-states
0011150040761	united-states
0011150040785	united-states
0011150088510	united-states
0011150088527	united-states
0011150088541	united-states
0011150088701	united-states
0011150088725	united-states
0011150088749	united-states
0011150088756	united-states
0011150088763	united-states
0011150159579	france
0011150159579	united-states
0011150500524	united-states
0011150589031	united-states
0011150589345	united-states
0011150940290	united-states
0011150981248	united-states
0011150981262	united-states
0011150981286	united-states
0011150981514	united-states
0011150981538	united-states
0011150981545	united-states
0011150981552	united-states
0011150981569	united-states
0011150981972	united-states
0011150992121	united-states
0011150992619	united-states
0011150992626	united-states
0011150992640	united-states
0011152031880	mexico
0011152225616	france
0011152276410	france
0011152276410	united-states
0011152296081	united-states
0011152296098	united-states
0011152431680	france
0011152431680	united-states
0011152431697	france
0011152697291	france
0011156054502	united-states
0011161032977	united-states
0011161036401	united-states
0011161036418	united-states
0011161159070	united-states
00111652	united-kingdom
0011182003987	mexico
0011182408553	united-states
0011194156770	mexico
0011194156770	united-states
0011200001407	france
0011200009717	france
0011210000018	france
0011210000018	united-states
0011210000834	mexico
0011210006508	belgium
0011210006508	switzerland
0011210006508	france
0011210006508	australia
0011210009493	germany
0011210009493	france
0011210021501	france
0011210021501	united-states
0011210115262	germany
0011210115262	france
0011210115644	france
0011210115644	spain
0011210601369	belgium
0011210601369	france
0011210607040	france
0011213019703	united-states
0011213020495	united-states
0011213020501	united-states
0011213024943	united-states
0011213024950	united-states
0011213025735	united-states
0011213031651	united-states
0011213031675	united-states
0011213031682	united-states
0011213036397	united-states
0011213037622	united-states
0011213037769	united-states
0011213037776	united-states
0011213037783	united-states
0011213044750	united-states
0011213044774	united-states
0011213053325	united-states
0011213147468	united-states
0011213185392	united-states
0011213251981	united-states
0011213252131	united-states
0011213252148	united-states
0011213252209	united-states
0011213252223	united-states
0011225028830	united-states
0011225033674	united-states
0011225107184	united-states
0011225121241	united-states
0011225125706	united-states
0011225125713	united-states
0011225416330	united-states
0011225416347	united-states
0011225617249	united-states
00113380	belgium
00113380	france
00113380	united-kingdom
00113380	netherlands
00113670	france
00113991	united-kingdom
00114356	united-kingdom
001151	france
0011535501047	united-states
0011535504734	united-states
00115537	france
0011594022026	united-states
0011594202107	united-states
00116343	united-kingdom
00116350	united-kingdom
00116367	united-kingdom
0011645004315	united-states
00116954	united-kingdom
00117418	france
0011747615105	france
0011747615358	france
0011747615358	new-zealand
0011747615358	australia
00117746	france
00117746	united-kingdom
0011778	france
0011778	united-kingdom
00117975	united-kingdom
00117982	united-kingdom
0011822337557	united-states
0011822397476	united-states
0011822584234	united-states
0011842216009	germany
0011848205717	france
0011848243108	mexico
0011863118764	mexico
0011863118764	united-states
00118668	switzerland
00119740	france
00119740	united-kingdom
0012000001086	united-states
0012000002656	saudi-arabia
0012000012785	france
0012000012785	united-states
0012000032448	france
0012000039218	united-states
0012000041396	united-states
0012000071744	united-states
0012000109416	united-states
0012000110221	united-states
0012000126352	united-states
0012000130274	united-states
0012000130311	france
0012000130311	united-states
0012000151668	france
0012000151903	united-states
0012000215094	united-states
0012000302404	united-states
0012000374012	united-states
0012000547409	france
0012000808593	france
0012000813313	france
0012000813313	united-states
0012009012168	canada
00120425	united-kingdom
00120623	france
00120623	united-kingdom
00120715	france
00120715	united-kingdom
00120920	united-kingdom
0012142100661	mexico
0012142117713	united-states
00121552	united-states
00121903	france
00121903	united-kingdom
00122061	france
00122061	united-kingdom
00123051	france
0012345678905	france
00124935	united-states
0012511202316	united-states
0012511278328	united-states
0012511921064	united-states
0012546315098	belgium
0012546315098	france
0012546915199	united-states
0012546917568	united-states
00125628	united-kingdom
00125642	united-kingdom
001256420004503	united-kingdom
00126410	united-kingdom
0012656707547	france
00126953	united-kingdom
00127135	united-states
0012822009062	france
0012822009062	united-states
0012822009079	france
0012822009079	united-states
0012964000064	mexico
00129855	united-kingdom
0013000001243	mexico
0013000008990	united-states
0013000451604	united-states
0013000626057	united-states
0013000626095	united-states
00130257	united-kingdom
0013087245950	canada
00130912	france
00130912	united-kingdom
00131391	france
00131391	united-kingdom
0013189953166	france
00132282	united-kingdom
00132862	france
0013409000335	united-states
0013409341155	france
0013409341155	sweden
0013409341155	australia
0013409341155	united-states
0013409516003	australia
0013409516645	sweden
0013409516645	united-states
0013409516874	united-states
0013454375648	united-states
0013562000456	united-states
0013562300112	united-states
0013562302321	united-states
0013562303854	united-states
0013600000691	canada
0013602004369	mexico
0013602004383	mexico
0013764027138	france
0013764027138	united-states
00138178	france
00138178	united-kingdom
00138550	france
00138550	united-kingdom
00138932	france
0013935620236	france
0013964497144	united-states
0013964967401	france
0013964967425	france
0014051000001	france
0014054030517	united-states
0014054030715	united-states
0014054031255	france
00140591	united-kingdom
0014100042303	france
0014100042303	french-polynesia
0014100042587	united-states
0014100042631	united-states
0014100070337	united-states
0014100071143	france
0014100074038	united-states
0014100074120	mexico
0014100074359	united-states
0014100074649	mexico
0014100074670	united-states
0014100074724	united-states
0014100074816	mexico
0014100074830	france
0014100074830	united-states
0014100075226	united-states
0014100077084	france
0014100077084	united-states
0014100077121	united-states
0014100077152	france
0014100078609	united-states
0014100079477	mexico
0014100079521	mexico
0014100084068	canada
0014100085393	united-states
0014100085478	mexico
0014100085478	france
0014100085478	united-states
0014100085485	france
0014100085485	united-states
0014100085508	france
0014100085508	united-states
0014100085539	mexico
0014100093626	mexico
0014100093626	france
0014100096054	mexico
0014100096979	france
0014100096986	switzerland
0014100096986	france
0014100097006	switzerland
0014100097006	france
0014100097006	united-kingdom
0014100097013	france
0014100097037	france
0014100097068	france
0014100098416	united-states
0014100098423	united-states
0014100098980	france
0014100099680	france
0014100099680	united-states
0014100208815	canada
0014113210331	france
0014113210362	france
0014113230018	france
0014113230025	france
0014113230117	france
0014113230131	france
0014113911368	france
0014113911672	belgium
0014113911672	france
0014113911689	france
0014113911719	france
0014113912112	france
0014113912341	france
0014113912853	france
0014113912860	france
0014113912938	france
0014113913256	france
0014113913782	france
00143707	france
00143707	united-kingdom
0014402513747	united-kingdom
0014402513860	france
00144353	united-kingdom
0014500001962	united-states
0014500016621	united-states
00145206	france
00145206	united-kingdom
00145442	united-kingdom
0014563002005	mexico
00146098	united-kingdom
00146227	france
0014683003708	united-states
0014740000015	france
0014800000344	united-states
0014800001693	united-states
0014800001808	france
0014800002737	united-states
0014800515312	mexico
0014800515336	mexico
0014800925340	united-states
0014816001007	france
00148214	france
00148214	united-kingdom
00149228	france
0015000007287	france
0015000046804	belgium
0015000070014	united-states
0015000140069	united-states
00151269	united-kingdom
00151436	france
00152116	france
0015400015462	united-states
0015400015554	united-states
0015400047258	france
0015400047258	french-polynesia
0015400056397	united-states
0015400132831	united-states
0015400191524	united-states
0015418005745	united-states
00154208	france
00154277	france
00154277	united-kingdom
0015509010009	united-kingdom
0015586945034	france
00156738	france
0015700050026	france
0015700050026	australia
0015700052303	french-polynesia
0015700052327	france
0015747199115	united-states
0015758360856	france
0015800062110	united-states
0015869017106	france
00159111	united-kingdom
00159241	france
0015953708422	united-states
00159623	france
00159623	united-kingdom
0015984510407	united-states
0015984510414	united-states
0015984510421	united-states
0015984610787	united-states
0015984610855	united-states
0016000002043	france
0016000106406	united-states
0016000116108	united-states
0016000121850	france
0016000121850	united-states
0016000123991	france
0016000124790	united-states
0016000141568	france
0016000141568	united-states
0016000197268	france
0016000197268	united-states
0016000261648	mexico
0016000261648	france
0016000264601	france
0016000264601	french-polynesia
0016000264694	united-states
0016000264700	france
0016000264700	united-states
0016000264793	france
0016000264793	united-states
0016000272019	mexico
0016000275058	united-states
0016000275119	united-states
0016000275263	united-states
0016000275270	united-states
0016000275270	canada
0016000275287	united-states
0016000275294	united-states
0016000275324	united-states
0016000275348	france
0016000275348	united-states
0016000275645	united-states
0016000275713	united-states
0016000277076	france
0016000277076	united-states
0016000289208	new-caledonia
0016000289208	france
0016000289994	mexico
0016000298606	united-states
0016000401068	united-states
0016000409811	france
0016000409972	united-states
0016000423718	mexico
0016000423718	france
0016000431010	france
0016000431010	canada
0016000434721	france
0016000434721	united-states
0016000435094	united-states
0016000439894	france
0016000442825	france
0016000442825	united-states
0016000449763	united-states
0016000455306	france
0016000456822	united-states
0016000457010	mexico
0016000458987	united-states
0016000467583	mexico
0016000467590	mexico
0016000483668	france
0016000483668	united-states
0016000486249	united-states
0016000487727	united-states
0016000487925	united-states
0016000487932	united-states
0016000487949	united-states
0016000490888	mexico
0016000490895	mexico
0016000490949	mexico
0016000490956	mexico
0016000490970	mexico
0016000490987	mexico
0016000502642	germany
0016000502642	france
0016000502666	france
0016000507333	france
0016000507661	france
0016000507661	united-states
0016000507678	france
0016000507678	united-states
0016000509467	united-states
0016000515758	france
0016101000054	france
00161565	france
00161565	united-kingdom
00161862	france
00161862	united-kingdom
0016200334005	united-states
00162012	united-kingdom
00162067	united-kingdom
0016229000530	france
0016229000561	france
0016229000561	australia
0016229001704	france
0016229001919	france
0016229001940	france
0016229001940	australia
0016229001940	united-states
0016229002114	france
0016229002114	united-kingdom
0016229002114	united-states
0016229004507	france
0016229005320	france
0016229006099	france
0016229006143	france
0016229006167	france
0016229006174	france
0016229006181	france
0016229006198	france
0016229006747	netherlands
0016229006747	united-states
0016229006754	france
0016229007379	france
0016229007737	france
0016229008369	france
0016229009021	france
0016229009052	france
0016229009373	france
0016229010423	france
0016229901141	france
0016229901141	united-states
0016229901158	france
0016229901158	united-states
0016229901165	france
0016229901189	france
0016229901226	france
0016229901226	united-states
0016229901479	france
0016229901479	united-states
0016229902643	france
0016229902643	united-states
0016229902933	france
0016229902933	united-states
0016229902995	france
0016229903480	germany
0016229903534	france
0016229903534	united-states
0016229905248	france
0016229905521	france
0016229909109	france
0016229909109	united-states
0016229910204	france
0016229910907	france
0016229910907	australia
0016229910914	france
0016229910914	australia
0016229912437	spain
0016229912437	united-kingdom
0016229914578	france
0016229914578	united-states
0016229916435	france
0016229916435	united-states
0016229916688	france
0016229917593	france
0016229917593	united-states
0016229917630	france
0016229918477	france
0016229920456	france
0016229920517	france
0016300151731	france
0016300165783	france
00163484	united-kingdom
00164191	france
0016468443372	united-states
0016571111137	united-states
00166010	united-kingdom
001664	france
00166423	united-kingdom
0016741311336	united-states
00167826	france
0016796059306	france
00168281	france
00168281	united-kingdom
00168953	united-kingdom
00169042	united-kingdom
00169998	france
00169998	united-kingdom
00170529	united-kingdom
0017077102087	mexico
0017077103084	mexico
0017077109086	mexico
00172684	united-kingdom
00172899	france
00172899	united-kingdom
00173759	united-kingdom
0017400106959	united-states
00174398	united-kingdom
00174411	united-kingdom
0017444000701	france
00174930	france
00174930	united-kingdom
00175555	france
00175661	france
00175661	united-kingdom
0017754209382	france
00178358	united-kingdom
00178631	france
00178631	united-kingdom
0018000758463	united-states
0018000817818	united-states
00180078	united-kingdom
00180115	united-kingdom
001802	france
00180245	united-states
00180269	united-kingdom
00180306	united-kingdom
00180344	france
00180689	united-kingdom
00181402	united-kingdom
0018200001680	germany
0018200001680	france
0018200967153	united-states
0018341751062	germany
0018341751109	france
00184281	france
00184281	united-kingdom
00184311	france
00184311	united-kingdom
00185394	france
00185943	france
00185943	united-kingdom
0018627100997	canada
0018627102557	france
0018627102588	canada
0018627104834	canada
0018627597612	france
0018627597612	canada
0018627703211	france
0018627703211	united-states
0018627703396	mexico
0018627703396	france
0018627703488	mexico
0018627703488	france
00186803	france
00186803	united-kingdom
00188630	france
00188630	united-kingdom
0018894126867	united-states
0018894175445	united-states
0018894300137	united-states
0018894303237	united-states
0018894306016	united-states
0018894360155	france
0018894360155	united-states
0018894463313	united-states
0018894463320	united-states
0018894463337	united-states
0018894701118	united-states
0018894701156	united-states
0018894701194	united-states
0018894705833	united-states
0018894705840	united-states
0018894834106	united-states
00189095	france
0019000006684	france
0019061093746	united-states
0019281700110	france
0019281700127	france
0019281700134	france
0019281700141	france
0019281700158	france
0019281700165	france
00192927	france
0019320015441	france
0019320015441	united-states
00193696	united-kingdom
00194211	france
00194211	united-kingdom
00194822	united-kingdom
00195270	france
0019582390584	france
00197168	france
0019836100211	mexico
0019836100754	mexico
0019836100761	mexico
0019836100778	mexico
0019836100792	mexico
0019836200218	mexico
00198370	france
00198370	united-kingdom
0019893001100	united-states
00199353	france
00199353	united-kingdom
0019962520426	france
0019962688546	germany
00199681	united-states
0020000108216	united-states
0020007181588	france
0020009494945	france
0020009495935	france
0020032302323	france
0020035132521	hong-kong
0020035132521	france
0020035132545	hong-kong
0020035132613	hong-kong
0020100000069	united-states
0020100000083	united-states
0020100000212	united-states
0020100000465	united-states
00201766	france
00201766	united-kingdom
0020200070061	united-states
00202343	france
00202343	united-kingdom
0020242124913	germany
00203180	united-kingdom
0020502140219	france
0020502140233	france
0020527022118	united-states
0020527089111	united-states
0020601407893	united-states
0020662000125	united-states
0020662000132	france
0020662000132	united-states
0020662000156	united-states
0020662000200	united-states
0020662001153	united-states
0020685000935	france
0020685000959	france
0020685000959	united-kingdom
0020711812051	reunion
0020717102262	france
0020717812055	france
0020717812208	france
0020735092484	united-states
0020735160022	united-states
0020735160107	united-states
0020735420959	united-states
00208338	france
00208338	united-kingdom
002084329738	france
00208970	france
00208970	united-kingdom
0020899000745	mexico
0020899001063	mexico
0020899001087	mexico
0020899001377	mexico
0020899001605	mexico
0020899001803	mexico
0020899752057	mexico
0021000010875	united-states
0021000026319	united-states
0021000026326	united-states
0021000026494	united-states
0021000026791	united-states
0021000026876	united-states
0021000026968	france
0021000028245	united-states
0021000028276	united-states
0021000052288	mexico
0021000052325	united-states
0021000052349	united-states
0021000052387	france
0021000052387	united-states
0021000053155	united-states
0021000065110	united-states
0021000419074	united-states
0021000521388	mexico
0021000640041	thailand
0021000642199	french-polynesia
0021000642731	france
0021000642731	united-states
0021000643462	united-states
0021000643615	united-states
0021000644735	france
0021000644735	united-states
0021000646050	united-states
0021000653218	united-states
0021000658831	france
0021000658831	united-kingdom
0021000658930	france
0021000658930	united-states
0021000658978	france
0021000658978	united-states
0021000701476	united-states
0021078019091	france
0021078019091	united-states
0021130008087	united-states
0021130008124	united-states
0021130008155	united-states
0021130008377	united-states
0021130008384	united-states
0021130016495	united-states
0021130016631	united-states
0021130070275	united-states
0021130070664	united-states
0021130070992	united-states
0021130074471	united-states
0021130075003	united-states
0021130079278	united-states
0021130087921	united-states
0021130087945	united-states
0021130119356	united-states
0021130119387	united-states
0021130119394	united-states
0021130120178	united-states
0021130120536	united-states
0021130120604	united-states
0021130150991	united-states
0021130153138	united-states
0021130153503	united-states
0021130184330	united-states
0021130185214	united-states
0021130241989	united-states
0021130252626	united-states
0021130254316	united-states
0021130293483	france
0021130293483	united-states
0021130293599	united-states
0021130299515	united-states
0021130299591	united-states
0021130310081	united-states
0021130310098	united-states
0021130314119	united-states
0021130314300	united-states
0021130316168	united-states
0021130340903	united-states
0021130405176	france
0021130405176	united-states
0021130480715	united-states
0021130480814	united-states
0021130493623	united-states
0021130494729	united-states
0021130501212	united-states
0021130507092	united-states
0021130512881	united-states
0021140023612	united-states
0021140152213	united-states
0021140152244	united-states
0021140152251	united-states
0021140152527	united-states
0021140209801	united-states
0021200001741	germany
002121	france
0021248102196	united-states
0021285003340	united-states
00213158	france
00213158	united-kingdom
0021357020138	united-states
0021357913447	united-states
00213790	france
00213790	united-kingdom
00213844	france
00214036	united-states
00216135	france
00216135	united-kingdom
00216289	france
00216289	united-kingdom
0021723778885	france
0021785003529	france
0021908509372	united-states
0021908812427	united-states
0021908812663	united-states
0022000011879	united-states
0022000015693	hong-kong
0022000015969	france
0022000015969	united-states
0022000159335	france
0022000159335	united-states
0022000159359	france
0022000159359	united-states
00220347	france
00220347	united-kingdom
00220514	france
00220514	united-kingdom
0022135109649	united-kingdom
00221719	france
00221719	united-kingdom
0022198008194	united-states
0022224105217	united-states
00222535	france
0022314010018	france
0022314010025	france
0022314010032	france
0022314010049	france
0022314010056	france
0022314010094	germany
0022314010094	france
0022314010100	france
0022314010117	germany
0022314010117	france
0022314010117	canada
0022314010605	france
0022314014108	france
0022314015099	france
0022314015167	france
0022314015174	france
0022314015242	france
0022314015617	france
0022314015655	france
0022314018373	france
0022314020123	lebanon
0022314020123	france
0022314030221	france
0022314030238	france
0022314081490	france
0022314081568	france
0022314081575	france
0022314084842	france
0022314084873	france
00223812	france
0022422260008	united-states
0022451011008	united-states
0022506002357	united-states
0022506135635	united-states
0022652192063	united-states
0022652192070	united-states
0022652192087	united-states
0022652192094	united-states
0022652192117	united-states
0022652192148	united-states
0022652192186	united-states
00226646	united-kingdom
00226837	france
00226837	united-kingdom
00227773	france
00228169	mexico
0022929302089	france
0023000955606	united-states
0023035319626	united-states
0023100000220	france
00232302	france
00232302	united-kingdom
00232371	france
00232449	france
00232449	united-kingdom
00232456	france
00232456	united-kingdom
0023254117010	mexico
00232548	france
00232548	united-kingdom
00232746	france
0023300400561	united-states
00233040	france
00233040	united-kingdom
00233446	france
00233446	united-kingdom
00234474	france
0023547400539	united-states
00236188	united-kingdom
0023627190046	united-states
0023629249667	france
0023698100159	united-states
0023896138909	united-states
0023896166803	united-states
0023896287850	united-states
0023896287867	united-states
0023896291581	united-states
0023896420653	united-states
0023896498508	united-states
0024	germany
0024000001645	france
0024000001645	united-states
0024000001966	germany
0024000001966	france
0024000001966	united-states
0024000003649	germany
0024000003649	united-states
0024000006435	united-states
0024000007203	netherlands
0024000010227	switzerland
0024000010227	france
0024000010227	united-states
0024000010418	belgium
0024000010418	switzerland
0024000010418	france
0024000010418	united-states
0024000010920	switzerland
0024000010920	united-states
0024000011484	switzerland
0024000011484	united-states
0024000011859	france
0024000011859	denmark
0024000011859	spain
0024000011859	united-states
0024000012306	france
0024000012306	netherlands
0024000013402	french-polynesia
0024000013976	united-states
0024000014430	switzerland
0024000024675	belgium
0024000024675	switzerland
0024000031710	united-states
0024000034094	united-states
0024000100201	france
0024000100546	france
0024000100911	france
0024000103127	france
0024000124962	united-kingdom
0024000143635	germany
0024000143635	france
0024000145851	france
0024000146087	france
0024000146087	spain
0024000153115	germany
0024000155430	france
0024000160007	france
0024000160113	italy
0024000162957	united-states
0024000163022	france
0024000163022	united-states
0024000163022	guyana
0024000163077	united-states
0024000164814	france
0024000164814	french-polynesia
0024000165002	france
0024000165057	france
0024000195252	france
0024000323204	united-states
0024072000256	united-states
0024094070343	france
0024094070343	united-states
0024094070787	united-states
0024100106851	united-states
0024100122264	united-states
0024100440870	united-states
0024126010224	united-states
0024126016875	united-states
0024126017063	united-states
0024126017094	united-states
0024138012322	united-states
00241939	united-kingdom
0024300031083	united-states
0024300041112	united-states
0024300041204	united-states
0024300041303	united-states
0024300044311	france
0024300044311	united-states
0024300044489	united-states
0024456008007	mexico
0024456010208	mexico
0024456012103	mexico
0024456012110	mexico
0024456031937	mexico
0024456038417	mexico
0024456039544	mexico
0024456070004	mexico
0024456095892	mexico
0024456095908	mexico
0024456095915	mexico
0024456095922	mexico
0024456095939	mexico
0024463061095	mexico
0024463061095	united-states
0024463061163	france
0024463061163	united-states
0024463062160	germany
0024463063167	france
0024463063167	canada
00245838	united-kingdom
0024600010030	united-states
0024600010412	united-states
0024600017008	united-states
00246132	france
00246132	united-kingdom
00248013	france
00248013	united-kingdom
0024842112219	united-states
0024842321116	united-states
0025000054501	france
0025000056017	united-states
0025000056031	united-states
0025000058073	france
0025000100000	united-states
0025110001525	france
00251259	united-kingdom
00252058	france
00252362	france
00252362	united-kingdom
0025293001237	united-states
0025293001503	france
0025293001527	france
0025293001527	canada
0025293001886	france
0025293002197	canada
0025293002449	canada
0025293002661	mexico
0025293002937	mexico
0025293004351	france
0025293600737	canada
0025293600751	canada
0025317129121	united-states
0025317579001	france
0025317579001	united-states
0025317686006	united-states
00253451	united-kingdom
0025500003818	united-states
0025500070858	united-states
00255493	france
00255493	united-kingdom
00255752	united-kingdom
00255783	united-kingdom
00255998	united-kingdom
0025600008195	united-states
0025616102504	australia
0025616102504	united-states
0025616202501	australia
0025616202501	united-states
00256353	france
00256353	united-kingdom
0025638214049	united-kingdom
0025638710022	united-kingdom
0025675051485	belgium
0025675051485	france
0025675051485	united-states
0025675502000	france
0025675502000	united-states
0025675705555	france
00256810	france
00256810	united-kingdom
00257084	france
00257084	united-kingdom
00257091	france
00257091	united-kingdom
0025800022250	united-states
00258738	germany
00259811	france
00262217	france
00262217	united-kingdom
00263290	france
00263290	united-kingdom
00263948	france
00263948	united-kingdom
0026395200160	france
0026395840168	france
0026400227601	united-states
00264224	serbia
00264587	france
00264587	united-kingdom
00265768	france
00265768	united-kingdom
00269346	france
00269636	france
0027000378953	united-states
0027000379097	united-states
0027000390054	france
0027000419021	united-states
0027000488140	united-states
0027000489178	united-states
0027000500347	mexico
0027000623251	united-states
0027328115551	united-states
0027400264955	united-states
