	code	name	image	n_additives	nutriscore	energy_100g	energy.from.fat_100g	fat_100g	saturated.fat_100g	monounsaturated.fat_100g	polyunsaturated.fat_100g	omega.3.fat_100g	omega.6.fat_100g	omega.9.fat_100g	trans.fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum.proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin.a_100g	beta.carotene_100g	vitamin.d_100g	vitamin.e_100g	vitamin.k_100g	vitamin.c_100g	vitamin.b1_100g	vitamin.b2_100g	vitamin.pp_100g	vitamin.b6_100g	vitamin.b9_100g	folates_100g	vitamin.b12_100g	biotin_100g	pantothenic.acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits.vegetables.nuts_100g	fruits.vegetables.nuts.estimate_100g	collagen.meat.protein.ratio_100g	cocoa_100g	chlorophyl_100g	carbon.footprint_100g	nutrition.score.fr_100g	nutrition.score.uk_100g	glycemic.index_100g	water.hardness_100g	choline_100g	phylloquinone_100g	beta.glucan_100g	inositol_100g	carnitine_100g
38624	3229580017766	Le Sablé Bio		2	e	1933	NA	18	11	NA	NA	NA	NA	NA	NA	NA	66	27	NA	NA	NA	6	NA	NA	NA	0.25	0.0984251968503937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	21	NA	NA	NA	NA	NA	NA	NA
38626	3229580020650	Galettes Charentaises Pur Beurre		2	e	1833	NA	16	11	NA	NA	NA	NA	NA	NA	NA	67	35	NA	NA	NA	6	NA	NA	NA	0.55	0.216535433070866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	24	NA	NA	NA	NA	NA	NA	NA
38631	3229820004334	Le cookie chocolat noisettes	https://static.openfoodfacts.org/images/products/322/982/000/4334/front.8.200.jpg	1	d	2105	NA	27	5.4	NA	NA	NA	NA	NA	NA	NA	55	31	NA	NA	6	6.9	NA	NA	NA	0.34	0.133858267716535	NA	NA	NA	NA	0.0056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0022	0.058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	13	13	NA	NA	NA	NA	NA	NA	NA
38677	3229820134703	Lunettes à la fraise bio	https://static.openfoodfacts.org/images/products/322/982/013/4703/front.10.200.jpg	4	e	2017	NA	22	15.6	NA	NA	NA	NA	NA	NA	NA	64	33	NA	NA	1.6	5.5	NA	NA	NA	0.5842	0.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	24	NA	NA	NA	NA	NA	NA	NA
38797	3229820784465	Le Sablé		0	e	2109	NA	25	15	NA	NA	NA	NA	NA	NA	NA	61	27	NA	NA	3.5	7	NA	NA	NA	0.3	0.118110236220472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	19	NA	NA	NA	NA	NA	NA	NA
38799	3229820784892	Nappé Choco	https://static.openfoodfacts.org/images/products/322/982/078/4892/front.5.200.jpg	1	d	1960	NA	20.9	10.9	NA	NA	NA	NA	NA	NA	NA	68.8	0.938	NA	NA	5.31	7.19	NA	NA	NA	0.656	0.258	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	12	NA	NA	NA	NA	NA	NA	NA
38840	3229820786841	Cookies Pépites de chocolat	https://static.openfoodfacts.org/images/products/322/982/078/6841/front.7.200.jpg	5	d	1862	NA	23	12	NA	NA	NA	NA	NA	NA	NA	65	0.3	NA	35	2.8	6.5	NA	NA	NA	0.7	0.275590551181102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	16	NA	NA	NA	NA	NA	NA	NA
38896	3229820789897	Lunettes à la myrtille	https://static.openfoodfacts.org/images/products/322/982/078/9897/front.3.200.jpg	4	d	1895	NA	16	7.9	NA	NA	NA	NA	NA	NA	NA	70	33	NA	NA	2.2	6.2	NA	NA	NA	0.1	0.0393700787401575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	17	NA	NA	NA	NA	NA	NA	NA
38929	3229820791920	Maxi Cookies Pépites de Chocolat Noir	https://static.openfoodfacts.org/images/products/322/982/079/1920/front.5.200.jpg	4	d	2085	NA	26	14	NA	NA	NA	NA	NA	NA	NA	56	26	NA	NA	6.5	7	NA	NA	NA	0.59	0.232283464566929	NA	NA	NA	NA	0.00341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0028	0.0634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	18	NA	NA	NA	NA	NA	NA	NA
38991	3229820794815	Sablé sarrasin vanille bio et sans gluten		6	c	1799	NA	14	1.8	NA	NA	NA	NA	NA	NA	NA	69	24	NA	NA	3.5	5.2	NA	NA	NA	0.58	0.228346456692913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	NA	NA	NA	NA	NA	NA	NA
