code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
0037323125271	Original Apple Sauce	https://static.openfoodfacts.org/images/products/003/732/312/5271/front_en.4.400.jpg	0	b	4	301		0.001	0.001								18.4	15.2			1.6	0.001				0.08	0.031496062992126																																										2	2							
0038900002169	Ananas au sirop en boite		0	b		339		0.1	0.1								19.67	18.7				0.4				0.1	0.0393700787401575																																										0	0							
0038900012267	Pineapple	https://static.openfoodfacts.org/images/products/003/890/001/2267/front_en.5.400.jpg	0	b	1	273		0.1	0.1								14.9	12			1	0.4				0.1	0.0393700787401575																																										1	1							
0038900014261	Tropical Gold Premium Pineapple Chunks in Juice	https://static.openfoodfacts.org/images/products/003/890/001/4261/front.7.400.jpg	0	a	1	272		0.1	0								15	12			0.1	0.4				0.254	0.1							0.032																																			-2	-2							
0038900030483	Tropical Fruit	https://static.openfoodfacts.org/images/products/003/890/003/0483/front_en.3.400.jpg	0		4																																																																								
0038900030995	Mandarin oranges in 100% fruit juice	https://static.openfoodfacts.org/images/products/003/890/003/0995/front_en.3.400.jpg	1	a	4	310		0	0						0	0	18.03	16.39			0.8	0.82				0.01016	0.004		9.84e-05					0.0344												0.131		0.033		0																			-2	-2							
0038900092795	Ananas au jus		2	a	4	255		0.1	0.1								13.8	12			1	0.4				0.1	0.0393700787401575							0.0309																														63.2					-1	-1							
0038900719609	Sunny fruit 		1		4	256		0.1	0.1								14	14			0.6					0.1	0.0393700787401575							0.0238																																											
0038900719678	Pêches au sirop léger	https://static.openfoodfacts.org/images/products/003/890/071/9678/front.7.400.jpg	0	a	1	285		0.1	0.1								16	16			0.8	0.3				0.1	0.0393700787401575																																										-2	-2							
00390330	British Raspberry Soft Set Jam		1	c	3	1084		0.7	0.2								60.7	57.3			3.7	0.6				0.1	0.0393700787401575																																					55					9	9							
0041143027936	sun maid, natural California raisins		0	b	1	1260		0	0								80	57.5			5	2.5				0.0318	0.0125	0						0.003												0.75		0.05		0.0027																			2	2							
0041143029107	Natural California Raisins	https://static.openfoodfacts.org/images/products/004/114/302/9107/front_en.9.400.jpg	0	c	1	1360	0	0	0						0	0	77.5	72.5			5	2.5				0.0635	0.025		0					0												0.775		0.05		0.0027																			3	3							
0041143128701	Natural California Raisins	https://static.openfoodfacts.org/images/products/004/114/312/8701/front_en.7.400.jpg	0	a	1																																																																-5	-5							
0041345105128	Blackberries in light syrup	https://static.openfoodfacts.org/images/products/004/134/510/5128/front_en.8.400.jpg	0	a	1	329	0	0	0						0	0	18.6	13.6			4.29	0.714				0.0181	0.00714		6.43e-05					0.00257												0.0986		0.0143		0.000514																			-6	-6							
0041345317125	Pitted dark sweet cherrie in heavy syrup	https://static.openfoodfacts.org/images/products/004/134/531/7125/front_en.9.400.jpg	0	a	3	359	0	0	0						0	0	21.4	18.6			2.14	0.714				0.00907	0.00357		0					0.000857												1.43		0		0.000257																			-2	-2							
0041497213269	Peaches, Pears, Pineapple, & Cherries Fruit Cocktail In Light Syrup		1	a	4	297		0	0						0	0	15.93	15.04			0.9	0.88				0.02286	0.009		2.64e-05					0.0239														0		0																			-2	-2							
0041800501519	Welch's Concord Grape Jam		3		4	1040		0									65	65				0				0.127	0.05																																																		
00425100	Cranberries	https://static.openfoodfacts.org/images/products/00425100/front_en.3.400.jpg	0																																																																										
00428996	Nut Collection	https://static.openfoodfacts.org/images/products/00428996/front.5.400.jpg	0	b	1	2612		54.7	7.2								15.4	4.8			7.6	14.7				0.01	0.00393700787401575					0.0077																			0.1846																		0	0							
00434614	Lemon & Lime	https://static.openfoodfacts.org/images/products/00434614/front_en.5.400.jpg	0		1																																																																								
0043641760070	Strawberry Conserve	https://static.openfoodfacts.org/images/products/004/364/176/0070/front_en.6.400.jpg	2	c	4	1139		0	0								67	67				0				0	0																																										8	8							
0043647010018	Confiture De Cassis		0	c		1130		0	0								66	66				0				0.1	0.0393700787401575																																										8	8							
0043647325013	Wild Blueberry		1	d	3	1142		0	0								67	66				0				0	0																																				50						12	12							
0043647764010	Confiture de Fraises Bio		2	d	4	1135		0	0								66	65				0				0	0																																					55					12	12							
00440790	British Plums	https://static.openfoodfacts.org/images/products/00440790/front_en.10.400.jpg	0	a	1	176		0.5	0.1								8.8	8.8			1.6	0.6				0.01	0.00393700787401575																																										-5	-5							
00449991	Unwaxed lemons	https://static.openfoodfacts.org/images/products/00449991/front_en.7.400.jpg	0	a	1	83		0.3	0								3.2	3.2			0	1				0	0							0.058																																			-5	-5							
0045255119671	Sweet Young Coconut	https://static.openfoodfacts.org/images/products/004/525/511/9671/front_en.5.400.jpg	0																																																																										
00463072	Soft Apricots		0	a		845			0.2									23			4.1	2.2				0.1	0.0393700787401575																																										-3	-3							
00464659	Midnight Jumbo raisins & cashew nuts	https://static.openfoodfacts.org/images/products/00464659/front_en.4.400.jpg	0	b	1	1732		19.9	3.6								42	38.1			10.7	11.4				0.2	0.078740157480315																																										1	1							
00475020	coconut	https://static.openfoodfacts.org/images/products/00475020/front_en.5.400.jpg	0		1																																																																								
00477833	Perfectly Ripe Greengages	https://static.openfoodfacts.org/images/products/00477833/front_en.3.400.jpg	0		1																																																																								
0049022556096	Raisins (California Sun Dried)	https://static.openfoodfacts.org/images/products/004/902/255/6096/front_en.7.400.jpg	0	d	1	1360		5	0								80	60			5	2.5				1.91	0.75																																										11	11							
00503051	Nut Assortment		0	b		2707		58.9	8.4						0	0	18.5	3.8			8.2	16.7				0.1	0.0393700787401575		0					0														0.258		0.00465																			1	1							
0050428590287	Deluxe Mixed Nuts	https://static.openfoodfacts.org/images/products/005/042/859/0287/front_en.10.400.jpg	1	c	3	2370		46.7	5						0	0	33.3	20			6.67	13.3				0.762	0.3	0			0															0.5		0.133		0.00367																			3	3							
0051500001639	Strawberry Jam	https://static.openfoodfacts.org/images/products/005/150/000/1639/front_en.15.400.jpg	2		4	1040		0									65	60				0				0	0																																																		
0051500006863	Strawberry Preserves	https://static.openfoodfacts.org/images/products/005/150/000/6863/front_en.6.400.jpg	2		4	209		0									13	12				0				0	0																																																		
0051500025802	Strawberry Jam	https://static.openfoodfacts.org/images/products/005/150/002/5802/front_en.3.400.jpg	0																																																																										
00517805	Snack Fruit, Nut & Berry	https://static.openfoodfacts.org/images/products/00517805/front.3.400.jpg	0	c	3	1715		19.3	2.8								49.5	44.4			6.6	6.1				0.02	0.0078740157480315																								0.0893																		3	3							
00539210	Rainbow		0	a	1	176		0.2	0.1								9.1	9.1				0.5				0.1	0.0393700787401575																																					100					-3	-3							
0055270876046	Pure Creamed Coconut	https://static.openfoodfacts.org/images/products/005/527/087/6046/front_en.4.400.jpg	0	a	1	460		11	10								2	1			1	1				0.00508	0.002																					0.02		0.00036																			-1	4							
