code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
3380380079504	Tartine bio craquantes aux lentilles vertes sans gluten		0	a	3	1548		1.2	0.4								69.5	1.1			4.2	18.1				0.6	0.236220472440945																							0.0046	0.0643																		-3	-3							
3380380080050	Tartines Bio craquantes aux pois chiches sans gluten		0	a	3	1582		3.9	0.6								66.8	1.6			8.1	14.8				0.5	0.196850393700787																							0.0062	0.0997																		-4	-4							
3380380080821	Tartines Bio Craquantes au Sarrasin Sans Gluten		0	a	1	1636		2.7	0.6								75.2	1.1				13.4				0	0																							0.199	0.0038																		-1	-1							
3392460411371	La Biscotte Heudebert	https://static.openfoodfacts.org/images/products/339/246/041/1371/front.5.400.jpg	3	d	4	1710		7.4	3.5								73	6.6			3.5	9.8				1.2446	0.49																																										11	11							
3392460479241	Chapelure	https://static.openfoodfacts.org/images/products/339/246/047/9241/front.5.400.jpg	3	d	4	1644		5.52	2.4								71	3.1				12				1.77	0.696850393700787																																										13	13							
3392460480209	La Biscotte 96 % céréales	https://static.openfoodfacts.org/images/products/339/246/048/0209/front.7.400.jpg	3	d	4	1710		7.4	3.5								73	6.6			3.5	9.8				1.2446	0.49																																										11	11							
3392460480827	Heudebert 6 céréales	https://static.openfoodfacts.org/images/products/339/246/048/0827/front.25.400.jpg	1	c	4	1690		8.5	2								66	3.1			5	13				1.63	0.641732283464567																																										8	8							
3392460480940	Pain grillé Villageois Pelletier	https://static.openfoodfacts.org/images/products/339/246/048/0940/front.17.400.jpg	2	c	3	1669		5.8	2.5								72	2.8			4.4	12				1.5	0.590551181102362																																										8	8							
3392460481114	Biscottes heudebert	https://static.openfoodfacts.org/images/products/339/246/048/1114/front.20.400.jpg	1	b	4	1686		6.1	2.7								74	5			3.6	12				0.1	0.0393700787401575					0.0061			0.00076		0.0078	0.00081	9.3e-05									0.252				0.0053																	0	0							
3392460482005	La Gourmande Tradition	https://static.openfoodfacts.org/images/products/339/246/048/2005/front.6.400.jpg	1	d	4	1732		8.9	3.9								69	5.9			4.2	12				1.4	0.551181102362205																																										11	11							
3392460482012	Heudebert Forme +	https://static.openfoodfacts.org/images/products/339/246/048/2012/front.21.400.jpg	1	c	3	1619		6.2	1.9								64	7.5			7.8	15				1.4	0.551181102362205					0.0045			0.00063	0.00048		0.0008	9e-05									0.36	0.32	0.00423	0.14																		7	7							
3392460482906	Pain grillé Pelletier recette brioché		5	c	4	607		14	6.2								65	9.9			3.5	12				1.1	0.433070866141732																																										10	10							
3392460483002	Pain grillé aux 6 céréales	https://static.openfoodfacts.org/images/products/339/246/048/3002/front.6.400.jpg	1	c	4	1669		7	1.9								69	2.8			3.9	13				1.5	0.590551181102362																																										7	7							
3392460483200	Pain grillé à la farine de froment Pelletier	https://static.openfoodfacts.org/images/products/339/246/048/3200/front.4.400.jpg	0																																																																										
3392460484184	Biscotte	https://static.openfoodfacts.org/images/products/339/246/048/4184/front.5.400.jpg	1	d	4	1703		7.8	3.5								70	4.6	65		3.8	12				1.67	0.65748031496063																																										12	12							
3392460484801	La Tartine Froment	https://static.openfoodfacts.org/images/products/339/246/048/4801/front.11.400.jpg	2	c	4	1695		6.4	2.8								72	3.5	68		4.3	12				1.5	0.590551181102362																																										9	9							
3392460486119	Le Pain de Mie	https://static.openfoodfacts.org/images/products/339/246/048/6119/front.5.400.jpg	3	c	4	1220		4.7	1.8								50	4			5.9	8.5				1.83642	0.723																																										7	7							
3392460488809	Brioche peletier	https://static.openfoodfacts.org/images/products/339/246/048/8809/front.8.400.jpg	3	d	4	1824		8.6	5								74	10			3.4	14				1.1	0.433070866141732																																										12	12							
3392460488816	Toast Brioché Raisins	https://static.openfoodfacts.org/images/products/339/246/048/8816/front.8.400.jpg	3	d	4	1757		7.1	4.1								75	22			4.6	12				0.89	0.350393700787402																																										12	12							
3396410048211	Pain de mie	https://static.openfoodfacts.org/images/products/339/641/004/8211/front.3.400.jpg	0	a	3	1192		6.4	0.5								46	3.4			5.3	8.1				1.2	0.47244094488189																																										-2	-2							
3396410102265	Pain Complet Graines de Lin		0	a	3	888		3.1	0.4								35	3.6			10	5.6				1	0.393700787401575																																										-2	-2							
3396410102272	Pain complet aux 3 céréales en tranches	https://static.openfoodfacts.org/images/products/339/641/010/2272/front.9.400.jpg	0	b	3	841		2.7	0.3								32.9	3.1			10.6	5.9				1.524	0.6																																										0	0							
3396410107338	Pain Complet aux Graines de Tournesol		0	a	3	943		4.1	0.5								36	3.6			10	6.1				1.3	0.511811023622047																																										-1	-1							
3396410136857	Pain Grillé Blé Complet	https://static.openfoodfacts.org/images/products/339/641/013/6857/front.3.400.jpg	1	b	3	1619		4	0.5								72	4.8			7.5	11				1.33	0.523622047244095																																										0	0							
3396411222788	Croustilles Sésame Pavot Fromage de Chèvre	https://static.openfoodfacts.org/images/products/339/641/122/2788/front.9.400.jpg	0	e	3	2312		36.8	22.1								44.9	0.3			17	10.2				2.8	1.10236220472441																																										21	21							
3396413711884	Gressins Olive Romarin		0	c	3	1729		11.2	1.8								58.6	0.5			9.6	14.2				1.75	0.688976377952756																																										8	8							
3401800003340	croûtons à l'ail	https://static.openfoodfacts.org/images/products/340/180/000/3340/front.3.400.jpg	0																																																																										
3410280020358	120 Biscottes 6 sachets fraîcheur	https://static.openfoodfacts.org/images/products/341/028/002/0358/front.7.400.jpg	1	d	4	1623		2.9	0.3								77.8	7.2				10.7				1.52	0.598425196850394																																										11	11							
