code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
28392057	Schoko Müsli	https://static.openfoodfacts.org/images/products/28392057/front_en.17.400.jpg	0	d	4	1674		11	5								60	17.9				11				0.13	0.0511811023622047																																										11	11							
29005611	Dinkel-Früchte-Müsli		0	c	4	1548		7.7	4.5								61.7	17.6			9.3	8.2				0.07	0.0275590551181102																																										6	6							
29010578	Nut Flakes		0	c	4	1671		3.7	0.9								82	17				6.7				0.8	0.31496062992126																																										6	6							
29030583	Cornflakes		0	c	3	1588		0.8	0.2								83	6				7.4				1.25	0.492125984251969																																										6	6							
29031009	Honey Balls		0																																																																										
29038251	crunchy Happen		1	e	4	2226		31	24								56	42				5.6				0.23	0.0905511811023622																																										26	26							
29057146	Hafer Crisp		0	a	4	1617		3.8	0.8								73	8			6	11				1	0.393700787401575																																										-1	-1							
29059102	Haferflocken Krokant & Quinoa		0	a	3	1615		7.6	1.2								62.6	11.8			8.6	11.8				0.02	0.0078740157480315																																										-3	-3							
29068012	Schoko Reis		0	d	4	1683		3.7	1.3								83	21				7				0.52	0.204724409448819																																										12	12							
29084302	Köstlich-zarte Vollkorn-Haferflocken		0	a	3	1566		7	1.3								58.7	0.7			10	13.5				0.01	0.00393700787401575								0.0006														0.43	0.0058	0.13	0.0043																	-5	-5							
29086207	Kernige Vollkorn Haferflocken		0	a	3	1566		7	1.3								58.7	0.7			10	13.5				0.01	0.00393700787401575								0.0006														0.43	0.0058	0.13	0.0043																	-5	-5							
29096510	Activ Müsli Schoko		0	c	4	1665		11	4.6								60	18			8.8	11				0.16	0.062992125984252																																										6	6							
29099849	Basis-Müsli Cereal-Mix	https://static.openfoodfacts.org/images/products/29099849/front.3.400.jpg	0	a	4	1561		7	0.9								58.9	3.2			9.9	13				0.2	0.078740157480315																																										-6	-6							
29099900	Vollkorn Früchte Müsli		0	a	3	1441		5.2	1.7								59.9	20.2			9.9	8.9				0.08	0.031496062992126																																										-1	-1							
29222587	Muesli Croustillant aux Éclats de Chocolat		1	c	4	1914		17.5	7								62.2	19.5			6.9	9				0.22	0.0866141732283465																																										10	10							
3013060203608	La Mordue		0			1820		15.3	5.9								60.1	26.4			8.6	9.6				0.44	0.173228346456693																																																		
3033710061983	Nestlé - Chocapic	https://static.openfoodfacts.org/images/products/303/371/006/1983/front.12.400.jpg	1	c	4	1645		4.5	1.8								75.7	28.7			6.3	8.2				0.381	0.15				3e-06				0.00093	0.00127	0.0138	0.00126	0.000176				0.00523					0.479		0.0117																			7	7							
3033710062034	Céréales Nesquik	https://static.openfoodfacts.org/images/products/303/371/006/2034/front.14.400.jpg	1	c	4	1636		4.1	1.7								76.1	25.2			6.2	8.1				0.508	0.2				3e-06				0.00097	0.00127	0.0142	0.00128	0.000183				0.0052					0.483		0.0099																			7	7							
3041090000423	Blédine Cacao	https://static.openfoodfacts.org/images/products/304/109/000/0423/front.3.400.jpg	1		4	1636		2.4	1.1								78.6	25.1			3.7	10.7				0.04	0.015748031496063								0.003																																										
3110770362004	Les petites Boules de Maïs o' Miel	https://static.openfoodfacts.org/images/products/311/077/036/2004/front.6.400.jpg	0	c	3	1651		1	0.2								88	21			2.7	5.5				0.5	0.196850393700787																																										5	5							
3110770362011	Les p'tits zanos o'miel		0	c	3	1638		2.5	0.6								82.2	18.4			4.7	6.5				0.8	0.31496062992126																																										7	7							
3111900300750	Muesli Protéiné Soja et Fruits		0	a	3	1674		8.3	0.7								48	13.3			5.4	30				0.15	0.0590551181102362																																										-4	-4							
3111900308084	Muesli croustillant quinoa chocolat	https://static.openfoodfacts.org/images/products/311/190/030/8084/front.4.400.jpg	2	c	4	2000		21.7	7								58.1	18.8			7.6	8.7				0.02	0.0078740157480315																																										10	10							
3111900308190	Muesli Croustillant Lin & Graines de Courge	https://static.openfoodfacts.org/images/products/311/190/030/8190/front.11.400.jpg	1	c	3	1970		21	2.1								55.8	18.9			8.5	10.4				0.02	0.0078740157480315																																										6	6							
3111900308213	Muesli Figues Cerises	https://static.openfoodfacts.org/images/products/311/190/030/8213/front.3.400.jpg	1	c	4	1515		1.6	0.2								77	18.7				6.6				0.03	0.0118110236220472																																				25						4	4							
3111900308251	Muesli croustillant badiane coriandre gingembre	https://static.openfoodfacts.org/images/products/311/190/030/8251/front.3.400.jpg	0	b		1681		7.8	0.9								70.6	20.6			7.3	7.9				0.05	0.0196850393700787																																										0	0							
3111900308275	Muesli croustillant miel sarrasin	https://static.openfoodfacts.org/images/products/311/190/030/8275/front.3.400.jpg	0																																																																										
3111900308299	Muesli croustillant cranberry, myrtille, framboise	https://static.openfoodfacts.org/images/products/311/190/030/8299/front.5.400.jpg	0	d	3	2004		15.3	1.4								73.8	22.6				8				0.03	0.0118110236220472																																										11	11							
3111900308305	Muesli Croustillant Grenade Cerise		1	b	3	1866		14.6	1.4								68.6	17.7			5.1	7.5				0.309999999999999	0.122047244094488																																										1	1							
3111900308312	Muesli croustillant Chocolat Châtaigne	https://static.openfoodfacts.org/images/products/311/190/030/8312/front.5.400.jpg	2	c	4	1837		12.5	2.9								73.8	18.4			3.9	5.8				0.03	0.0118110236220472																																										7	7							
3111900308336	Muesli croustillant Epeautre Chocolat	https://static.openfoodfacts.org/images/products/311/190/030/8336/front.3.400.jpg	2	c	4	1839		15.3	3.1								63.3	22.4			6.8	8.4				0.04	0.015748031496063																																										7	7							
3111900308398	Muesli chocolat	https://static.openfoodfacts.org/images/products/311/190/030/8398/front.6.400.jpg	1	c	4	1685		10.2	3.5								62.8	17			7	10.8				0.2	0.078740157480315																																										6	6							
3111900330009	Crosti Petales Choc'	https://static.openfoodfacts.org/images/products/311/190/033/0009/front.3.400.jpg	0	a	3	1623		4.5	2.4								72	18			8	11				0.2	0.078740157480315																																										-1	-1							
3111900330016	Crosti Coeur fondant choco Noisettes	https://static.openfoodfacts.org/images/products/311/190/033/0016/front.3.400.jpg	1	b	4	1707		12	2.6								59	17			9.5	11				0.2	0.078740157480315																						0.324	3.5	0.129																		0	0							
3111900330023	Crosti Riz soufflé choco		1	b	4	1657		4.9	2.5								79	13			3.5	7.2				0.01	0.00393700787401575																																										1	1							
3111900330030	Crosti boules miel	https://static.openfoodfacts.org/images/products/311/190/033/0030/front.3.400.jpg	0	c	3	1623		1	0.2								88	21			2.7	5.5				0.5	0.196850393700787	0																																									5	5							
3111900330061	Crosti boules choco		0	b	3	1632		3.7	2.1								81	16			4.1	6.4				0.18	0.0708661417322835																																										2	2							
3111900330078	Crosti coeur fondant noisette		0	d	3	1791		12	3.2								71	28			3	7.2				0.37	0.145669291338583																																										12	12							
3111900350045	Muesli Fruits des Bois	https://static.openfoodfacts.org/images/products/311/190/035/0045/front.3.400.jpg	1	a	4	1517		6.9	1								60	15.2			7.2	10.8				0.3	0.118110236220472																																										-2	-2							
3111900350120	Crosti'oz MIEL	https://static.openfoodfacts.org/images/products/311/190/035/0120/front.4.400.jpg	0	c	4	1600		2.5	0.5								80	17.9			5	9.1				1.3208	0.52																																										7	7							
3111900350243	Joseph Favrichon Muesli Protéiné soja & fruits	https://static.openfoodfacts.org/images/products/311/190/035/0243/front.3.400.jpg	0	a	3	1674		8.3	0.7								48	13.3			5.4	30				0.14	0.0551181102362205																																										-4	-4							
3111900350304	Muesli lin et fibres	https://static.openfoodfacts.org/images/products/311/190/035/0304/front.6.400.jpg	1	a	3	1630		8	1.1								56.1	12.5			12.9	16.3				0.04	0.015748031496063																																										-3	-3							
